Filename                                   Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
analysis/cache.rs                              720                 1    99.86%          35                 0   100.00%         374                 0   100.00%           0                 0         -
analysis/confirm.rs                             26                 0   100.00%           4                 0   100.00%          19                 0   100.00%           0                 0         -
analysis/orchestrate.rs                        533                 0   100.00%          34                 0   100.00%         272                 0   100.00%           0                 0         -
analysis/signals/ir.rs                         966                 0   100.00%          40                 0   100.00%         485                 0   100.00%           0                 0         -
analysis/signals/language_resolver.rs          725                 1    99.86%          70                 0   100.00%         441                 0   100.00%           0                 0         -
analysis/signals/mod.rs                        289                 0   100.00%          18                 0   100.00%         178                 0   100.00%           0                 0         -
analysis/signals/rule_resolver.rs              702                 6    99.15%          40                 1    97.50%         333                 1    99.70%           0                 0         -
analysis/signals/semgrep.rs                   1331                 6    99.55%          87                 0   100.00%         732                 0   100.00%           0                 0         -
analysis/signals/tree_sitter.rs               1025                 7    99.32%          65                 1    98.46%         648                 1    99.85%           0                 0         -
analysis/static_analyzer/frameworks.rs         532                 4    99.25%          44                 2    95.45%         295                 2    99.32%           0                 0         -
analysis/static_analyzer/languages.rs          565                 0   100.00%          40                 0   100.00%         290                 0   100.00%           0                 0         -
analysis/static_analyzer/manifests.rs         1469                10    99.32%          95                 0   100.00%         794                 1    99.87%           0                 0         -
analysis/static_analyzer/monorepo.rs          2871                13    99.55%         144                 0   100.00%        1328                 0   100.00%           0                 0         -
analysis/static_analyzer/registry.rs            92                 0   100.00%          11                 0   100.00%          61                 0   100.00%           0                 0         -
analysis/types.rs                              603                 2    99.67%          25                 0   100.00%         339                 0   100.00%           0                 0         -
api/client.rs                                 1221                 8    99.34%          90                 1    98.89%         788                 1    99.87%           0                 0         -
api/retry.rs                                   192                 0   100.00%          18                 0   100.00%         114                 0   100.00%           0                 0         -
api/types.rs                                   342                 0   100.00%          12                 0   100.00%         300                 0   100.00%           0                 0         -
branding/banner.rs                             162                 0   100.00%          16                 0   100.00%          96                 0   100.00%           0                 0         -
claude/auth.rs                                 130                 0   100.00%          10                 0   100.00%          57                 0   100.00%           0                 0         -
claude/binary.rs                                94                 2    97.87%           6                 0   100.00%          50                 0   100.00%           0                 0         -
claude/options.rs                              221                 0   100.00%          15                 0   100.00%         109                 0   100.00%           0                 0         -
claude/prompts.rs                               70                 0   100.00%           7                 0   100.00%          44                 0   100.00%           0                 0         -
claude/schemas.rs                               39                 0   100.00%           3                 0   100.00%          19                 0   100.00%           0                 0         -
claude/subprocess.rs                           567                12    97.88%          46                 1    97.83%         320                11    96.56%           0                 0         -
cli/commands/auth.rs                           413                 8    98.06%          25                 0   100.00%         251                 0   100.00%           0                 0         -
cli/commands/config.rs                         342                 1    99.71%          39                 0   100.00%         244                 0   100.00%           0                 0         -
cli/commands/mod.rs                             62                 1    98.39%           5                 1    80.00%          31                 1    96.77%           0                 0         -
cli/commands/status.rs                        1272                 4    99.69%          65                 2    96.92%         677                 2    99.70%           0                 0         -
cli/commands/sync.rs                          2472                22    99.11%         109                 4    96.33%        1552                 5    99.68%           0                 0         -
cli/ui/confirm.rs                              560                 1    99.82%          30                 1    96.67%         374                 1    99.73%           0                 0         -
cli/ui/diff.rs                                 581                 1    99.83%          35                 0   100.00%         447                 0   100.00%           0                 0         -
cli/ui/file_confirm.rs                         292                 3    98.97%          18                 0   100.00%         166                 0   100.00%           0                 0         -
cli/ui/header.rs                               225                 1    99.56%          15                 1    93.33%         123                 1    99.19%           0                 0         -
cli/ui/panel.rs                                838                 0   100.00%          37                 0   100.00%         464                 0   100.00%           0                 0         -
cli/ui/progress.rs                             490                 1    99.80%          33                 0   100.00%         236                 1    99.58%           0                 0         -
cli/ui/terminal.rs                              15                 0   100.00%           1                 0   100.00%           7                 0   100.00%           0                 0         -
cli/ui/test_utils.rs                           177                 3    98.31%          16                 0   100.00%          86                 0   100.00%           0                 0         -
cli/ui/theme.rs                                132                 5    96.21%          20                 0   100.00%          77                 0   100.00%           0                 0         -
config/dotpath.rs                              623                 0   100.00%          59                 0   100.00%         339                 0   100.00%           0                 0         -
config/paths.rs                                672                 4    99.40%          47                 0   100.00%         331                 0   100.00%           0                 0         -
config/rejections.rs                           211                 0   100.00%          11                 0   100.00%          84                 0   100.00%           0                 0         -
config/types.rs                                100                 0   100.00%           5                 0   100.00%          56                 0   100.00%           0                 0         -
error.rs                                       188                 0   100.00%          12                 0   100.00%         132                 0   100.00%           0                 0         -
generation/markers.rs                          780                 2    99.74%          67                 0   100.00%         417                 0   100.00%           0                 0         -
generation/merge.rs                            468                 0   100.00%          21                 0   100.00%         276                 0   100.00%           0                 0         -
generation/writer.rs                           393                 0   100.00%          10                 0   100.00%         231                 0   100.00%           0                 0         -
lib.rs                                          13                 0   100.00%           1                 0   100.00%           7                 0   100.00%           0                 0         -
tailoring/batch.rs                             311                 0   100.00%          17                 0   100.00%         167                 0   100.00%           0                 0         -
tailoring/concurrent.rs                        670                 1    99.85%          39                 0   100.00%         443                 0   100.00%           0                 0         -
tailoring/filter.rs                            134                 0   100.00%          13                 0   100.00%          65                 0   100.00%           0                 0         -
tailoring/invoke.rs                            525                 6    98.86%          35                 0   100.00%         319                 0   100.00%           0                 0         -
tailoring/types.rs                              92                 0   100.00%           3                 0   100.00%          87                 0   100.00%           0                 0         -
telemetry/identity.rs                           90                 0   100.00%           8                 0   100.00%          43                 0   100.00%           0                 0         -
telemetry/metrics.rs                           178                 0   100.00%           9                 0   100.00%         123                 0   100.00%           0                 0         -
telemetry/reporter.rs                          370                 1    99.73%          29                 0   100.00%         233                 0   100.00%           0                 0         -
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                        29176               137    99.53%        1809                15    99.17%       16574                28    99.83%           0                 0         -
